[Name]
User Points

[Data]
"Time [s]","Monitor Point: CMZ1","Monitor Point: CMZ2","Monitor Point: CR1","Monitor Point: CR2","Monitor Point: CX1","Monitor Point: CX2","Monitor Point: CY1","Monitor Point: CY2"
2.07199993e+01,-2.06530876e-02,-9.88900885e-02,1.09303677e+00,9.02043700e-01,5.19820035e-01,-7.38682449e-01,9.61517811e-01,5.17717183e-01
2.07399998e+01,-2.10693739e-02,-9.74784121e-02,1.07269931e+00,9.22817409e-01,5.04129946e-01,-7.72804201e-01,9.46856320e-01,5.04346728e-01
2.07600002e+01,-2.14305092e-02,-9.57473591e-02,1.06013727e+00,9.39677954e-01,4.93468165e-01,-7.95634031e-01,9.38285828e-01,4.99961197e-01
2.07799988e+01,-2.17922609e-02,-9.39045325e-02,1.04802227e+00,9.58526373e-01,4.82881159e-01,-8.20483863e-01,9.30148602e-01,4.95559335e-01
2.07999992e+01,-2.21470799e-02,-9.20148939e-02,1.03729820e+00,9.79435325e-01,4.72974598e-01,-8.47425997e-01,9.23191547e-01,4.91083264e-01
2.08199997e+01,-2.24835817e-02,-9.01216790e-02,1.02868867e+00,1.00234807e+00,4.64225292e-01,-8.76635849e-01,9.17984366e-01,4.86015618e-01
2.08400002e+01,-2.27888785e-02,-8.82401019e-02,1.02266324e+00,1.02709103e+00,4.56918985e-01,-9.08175647e-01,9.14912581e-01,4.79721665e-01
2.08599987e+01,-2.30634287e-02,-8.64059031e-02,1.01938379e+00,1.05344999e+00,4.51134205e-01,-9.42002892e-01,9.14123178e-01,4.71579820e-01
2.08799992e+01,-2.33136546e-02,-8.46631974e-02,1.01867950e+00,1.08123374e+00,4.46752667e-01,-9.78030682e-01,9.15488899e-01,4.61001486e-01
2.08999996e+01,-2.35508569e-02,-8.30594078e-02,1.02008712e+00,1.11023164e+00,4.43501800e-01,-1.01597393e+00,9.18631494e-01,4.47673082e-01
2.09200001e+01,-2.37922855e-02,-8.16217959e-02,1.02293098e+00,1.14025164e+00,4.41008359e-01,-1.05539954e+00,9.22983885e-01,4.31631327e-01
2.09399986e+01,-2.40516718e-02,-8.03551823e-02,1.02640688e+00,1.17098784e+00,4.38840002e-01,-1.09555614e+00,9.27863419e-01,4.13484275e-01
2.09599991e+01,-2.43348256e-02,-7.92266577e-02,1.02969098e+00,1.20192635e+00,4.36558306e-01,-1.13539183e+00,9.32566643e-01,3.94350708e-01
2.09799995e+01,-2.46425271e-02,-7.82040879e-02,1.03203213e+00,1.23220086e+00,4.33759660e-01,-1.17350578e+00,9.36452329e-01,3.75770122e-01
2.10000000e+01,-2.49691419e-02,-7.72711188e-02,1.03280592e+00,1.26060343e+00,4.30095345e-01,-1.20825338e+00,9.38992023e-01,3.59506458e-01
2.10200005e+01,-2.53155529e-02,-7.64116794e-02,1.03153276e+00,1.28569555e+00,4.25295085e-01,-1.23784232e+00,9.39778686e-01,3.47504705e-01
2.10399990e+01,-2.56774276e-02,-7.55989477e-02,1.02785230e+00,1.30607903e+00,4.19140220e-01,-1.26063251e+00,9.38510418e-01,3.41537744e-01
2.10599995e+01,-2.60567181e-02,-7.48121738e-02,1.02146256e+00,1.32066584e+00,4.11437958e-01,-1.27537024e+00,9.34935629e-01,3.42912555e-01
2.10799999e+01,-2.64538024e-02,-7.40052685e-02,1.01203620e+00,1.32904112e+00,4.01972294e-01,-1.28146803e+00,9.28781807e-01,3.52406114e-01
2.11000004e+01,-2.68762801e-02,-7.30931982e-02,9.99168277e-01,1.33164716e+00,3.90487105e-01,-1.27920628e+00,9.19704854e-01,3.70020956e-01
2.11199989e+01,-2.73178462e-02,-7.19672218e-02,9.82348323e-01,1.32973623e+00,3.76668274e-01,-1.26969397e+00,9.07264709e-01,3.95064175e-01
2.11399994e+01,-2.77878940e-02,-7.05205575e-02,9.61022019e-01,1.32527447e+00,3.60203028e-01,-1.25486851e+00,8.90964150e-01,4.26212847e-01
2.11599998e+01,-2.82731317e-02,-6.86981827e-02,9.34671998e-01,1.32056999e+00,3.40811551e-01,-1.23719776e+00,8.70321333e-01,4.61786628e-01
2.11800003e+01,-2.87646465e-02,-6.65044934e-02,9.02954042e-01,1.31779313e+00,3.18363518e-01,-1.21925890e+00,8.44967842e-01,4.99986410e-01
2.11999989e+01,-2.92407162e-02,-6.39917254e-02,8.65877330e-01,1.31875813e+00,2.92960227e-01,-1.20352864e+00,8.14811528e-01,5.39111912e-01
2.12199993e+01,-2.96749417e-02,-6.12914860e-02,8.23903561e-01,1.32460642e+00,2.65028358e-01,-1.19197369e+00,7.80113459e-01,5.77737689e-01
2.12399998e+01,-3.00326236e-02,-5.86035550e-02,7.78075814e-01,1.33570087e+00,2.35358953e-01,-1.18580365e+00,7.41625309e-01,6.14789903e-01
2.12600002e+01,-3.02476678e-02,-5.61674722e-02,7.30128706e-01,1.35163260e+00,2.05138057e-01,-1.18530047e+00,7.00718462e-01,6.49594963e-01
2.12799988e+01,-3.02934889e-02,-5.41862473e-02,6.82235122e-01,1.37140810e+00,1.75871700e-01,-1.18991125e+00,6.59176707e-01,6.81814790e-01
2.12999992e+01,-3.01576108e-02,-5.27582951e-02,6.36996329e-01,1.39362133e+00,1.49301112e-01,-1.19837821e+00,6.19252384e-01,7.11385906e-01
2.13199997e+01,-2.98509747e-02,-5.19126281e-02,5.97210169e-01,1.41660655e+00,1.27235666e-01,-1.20892143e+00,5.83499014e-01,7.38432884e-01
2.13400002e+01,-2.93758400e-02,-5.15531190e-02,5.65754533e-01,1.43874955e+00,1.11395963e-01,-1.21964586e+00,5.54679275e-01,7.63193429e-01
2.13599987e+01,-2.87715290e-02,-5.15173860e-02,5.45261800e-01,1.45857882e+00,1.03136577e-01,-1.22874629e+00,5.35418749e-01,7.85897315e-01
2.13799992e+01,-2.80975606e-02,-5.16075864e-02,5.37975430e-01,1.47497201e+00,1.03289157e-01,-1.23482037e+00,5.27966797e-01,8.06697726e-01
2.13999996e+01,-2.74104234e-02,-5.16169257e-02,5.45618892e-01,1.48731470e+00,1.12009808e-01,-1.23711395e+00,5.33997893e-01,8.25623512e-01
2.14200001e+01,-2.67439093e-02,-5.13894744e-02,5.69135129e-01,1.49548864e+00,1.28667995e-01,-1.23557425e+00,5.54399967e-01,8.42521429e-01
2.14399986e+01,-2.61344220e-02,-5.08654043e-02,6.08371019e-01,1.49975276e+00,1.51964024e-01,-1.23068607e+00,5.89085937e-01,8.57128978e-01
2.14599991e+01,-2.56145447e-02,-5.00405431e-02,6.61928773e-01,1.50073540e+00,1.80043772e-01,-1.22349393e+00,6.36972487e-01,8.69062364e-01
2.14799995e+01,-2.51742899e-02,-4.89426814e-02,7.27163434e-01,1.49937391e+00,2.10654080e-01,-1.21558928e+00,6.95982397e-01,8.77761304e-01
2.15000000e+01,-2.47944146e-02,-4.76342477e-02,8.00435007e-01,1.49677479e+00,2.41417870e-01,-1.20890594e+00,7.63160288e-01,8.82542431e-01
2.15200005e+01,-2.44322307e-02,-4.61694337e-02,8.77566099e-01,1.49414527e+00,2.70137399e-01,-1.20542145e+00,8.34953904e-01,8.82852793e-01
2.15399990e+01,-2.40609050e-02,-4.45569567e-02,9.54389334e-01,1.49266458e+00,2.95117646e-01,-1.20698309e+00,9.07614768e-01,8.78202260e-01
2.15599995e+01,-2.36145630e-02,-4.28143814e-02,1.02727652e+00,1.49346840e+00,3.15391660e-01,-1.21504700e+00,9.77663159e-01,8.68394256e-01
2.15799999e+01,-2.30752043e-02,-4.09369543e-02,1.09345782e+00,1.49763274e+00,3.30807358e-01,-1.23052037e+00,1.04221714e+00,8.53653073e-01
