[Name]
User Points

[Data]
"Time [s]","Monitor Point: cm","Monitor Point: cx","Monitor Point: cy"
1.92000008e+01,-2.91595142e-02,1.56212652e+00,1.92423746e-01
1.93999996e+01,-2.71905493e-02,1.55187368e+00,1.83033183e-01
1.96000004e+01,-2.50377376e-02,1.54475474e+00,1.72560990e-01
1.98000011e+01,-2.27568001e-02,1.54089487e+00,1.60873502e-01
2.00000000e+01,-2.03603078e-02,1.54004109e+00,1.47924706e-01
2.02000008e+01,-1.78886447e-02,1.54143667e+00,1.33645371e-01
2.03999996e+01,-1.53504116e-02,1.54461348e+00,1.17978632e-01
2.06000004e+01,-1.27308853e-02,1.54913390e+00,1.01100773e-01
2.08000011e+01,-1.01430258e-02,1.55459011e+00,8.28472525e-02
2.10000000e+01,-7.65864644e-03,1.56050289e+00,6.29906878e-02
2.12000008e+01,-5.32294344e-03,1.56630492e+00,4.15218398e-02
2.13999996e+01,-3.15401354e-03,1.57152426e+00,1.85754634e-02
2.16000004e+01,-1.15149783e-03,1.57613087e+00,-5.76374587e-03
2.18000011e+01,6.84701023e-04,1.58023143e+00,-3.13672237e-02
2.20000000e+01,2.37050024e-03,1.58371842e+00,-5.80422655e-02
2.22000008e+01,3.93442204e-03,1.58649576e+00,-8.56152624e-02
2.23999996e+01,5.40660415e-03,1.58857036e+00,-1.13876447e-01
2.26000004e+01,6.81408122e-03,1.59002244e+00,-1.42545193e-01
2.28000011e+01,8.20884295e-03,1.59091806e+00,-1.71336263e-01
2.30000000e+01,9.63102747e-03,1.59126484e+00,-2.00083956e-01
2.32000008e+01,1.10958666e-02,1.59107351e+00,-2.28654787e-01
2.33999996e+01,1.26042990e-02,1.59039056e+00,-2.56965458e-01
2.36000004e+01,1.41564533e-02,1.58930135e+00,-2.84972042e-01
2.38000011e+01,1.57497562e-02,1.58791423e+00,-3.12607974e-01
2.40000000e+01,1.73732061e-02,1.58633709e+00,-3.39759052e-01
2.42000008e+01,1.90167539e-02,1.58465135e+00,-3.66340697e-01
2.43999996e+01,2.06739530e-02,1.58294022e+00,-3.92355114e-01
2.46000004e+01,2.23284476e-02,1.58126140e+00,-4.17839676e-01
2.48000011e+01,2.39599906e-02,1.57973659e+00,-4.42735851e-01
2.50000000e+01,2.55568568e-02,1.57859778e+00,-4.66950595e-01
2.52000008e+01,2.70975120e-02,1.57805729e+00,-4.90400165e-01
2.53999996e+01,2.85575055e-02,1.57828498e+00,-5.13053596e-01
2.56000004e+01,2.99229883e-02,1.57937646e+00,-5.34833133e-01
2.58000011e+01,3.11699342e-02,1.58138335e+00,-5.55707693e-01
2.60000000e+01,3.22874337e-02,1.58425629e+00,-5.75616539e-01
2.62000008e+01,3.32588702e-02,1.58783972e+00,-5.94503820e-01
2.63999996e+01,3.40734087e-02,1.59194493e+00,-6.12285733e-01
2.66000004e+01,3.47265638e-02,1.59633362e+00,-6.28874838e-01
2.68000011e+01,3.52153368e-02,1.60079467e+00,-6.44146800e-01
2.70000000e+01,3.55331711e-02,1.60515845e+00,-6.58029974e-01
